"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"460",460,"18-24","Male","Some college or university, no certificate or degree","UK","White",1.49158,-1.37639,-2.63199,1.81866,-1.25773,0.52975,-1.18084,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Month","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used"
"461",461,"35-44","Male","Some college or university, no certificate or degree","UK","White",0.82562,0.47617,1.43533,0.13136,-2.30408,1.29221,1.2247,"Used in Last Year","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
"462",462,"45-54","Male","Left school at 18 years","UK","White",1.02119,-0.94779,-0.58331,1.45039,-1.25773,-0.21712,0.40148,"Used in Last Day","Used over a Decade Ago","Used in Last Decade","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Used over a Decade Ago"
"463",463,"18-24","Female","University degree","UK","White",0.31287,-0.80615,1.06238,0.76096,0.93949,0.19268,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used"
"464",464,"18-24","Female","Masters degree","UK","White",1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"465",465,"18-24","Female","University degree","UK","Asian",0.31287,0.63779,1.06238,1.11406,-0.27607,-0.71126,0.7654,"Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used in Last Decade"
"466",466,"45-54","Male","University degree","UK","White",0.22393,0.00332,1.24033,-0.01729,1.46191,-0.21712,-0.21575,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Decade","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used"
"467",467,"35-44","Male","University degree","UK","White",-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"468",468,"25-34","Male","University degree","UK","White",-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,"Used in Last Week","Used in Last Year","Used in Last Decade","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"469",469,"45-54","Female","Not Provided","USA","White",2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,"Used in Last Year","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used"
"470",470,"18-24","Female","University degree","UK","White",0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"471",471,"18-24","Male","Masters degree","UK","Mixed-White/Black",-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"472",472,"18-24","Female","Left school before 16 years","UK","White",0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Never Used","Used in Last Decade"
"473",473,"35-44","Female","Some college or university, no certificate or degree","USA","White",1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,"Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Day","Never Used","Never Used"
"474",474,"55-64","Female","University degree","UK","Not Provided",-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"475",475,"45-54","Female","University degree","USA","White",-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,"Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"476",476,"35-44","Male","University degree","UK","White",1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Year"
"477",477,"35-44","Female","Professional certificate/diploma","UK","White",1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,"Used in Last Day","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"478",478,"25-34","Female","University degree","UK","White",0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"479",479,"25-34","Female","Masters degree","Australia","White",0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,"Used in Last Day","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"480",480,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,"Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used"
"481",481,"35-44","Female","University degree","Australia","White",1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"482",482,"35-44","Male","Some college or university, no certificate or degree","UK","White",-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,"Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Used over a Decade Ago"
"483",483,"25-34","Female","University degree","UK","White",1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,"Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
"484",484,"35-44","Female","Not Provided","UK","White",-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,"Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"485",485,"45-54","Female","Not Provided","UK","White",-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,"Used in Last Day","Never Used","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"486",486,"25-34","Male","Left school at 18 years","Other","White",1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,"Used in Last Week","Used in Last Week","Never Used","Used in Last Decade","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used over a Decade Ago"
"487",487,"35-44","Female","Left school at 18 years","USA","White",1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,"Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"488",488,"25-34","Male","Not Provided","UK","White",0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,"Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade"
"489",489,"18-24","Male","Left school before 16 years","UK","White",1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,"Used in Last Year","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"490",490,"18-24","Male","Some college or university, no certificate or degree","UK","White",-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Used in Last Month","Never Used","Used in Last Month","Used in Last Week","Never Used","Never Used"
"491",491,"45-54","Female","Professional certificate/diploma","UK","White",0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"492",492,"18-24","Male","Left school at 18 years","UK","White",-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,"Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Decade"
"493",493,"18-24","Male","Professional certificate/diploma","UK","White",0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,"Used in Last Week","Never Used","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"494",494,"18-24","Male","Some college or university, no certificate or degree","UK","White",0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used"
"495",495,"18-24","Male","Professional certificate/diploma","Other","Not Provided",-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,"Used in Last Month","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"496",496,"55-64","Male","Some college or university, no certificate or degree","USA","White",-0.79151,0.16767,0.58331,0.59042,0.93949,-1.37983,-0.52593,"Used in Last Year","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Decade","Used in Last Day","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used over a Decade Ago","Used in Last Month","Never Used","Used in Last Day","Never Used","Never Used"
"497",497,"25-34","Male","Masters degree","UK","White",0.04257,1.2861,2.90161,-0.60633,-0.00665,-0.71126,0.07987,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"498",498,"25-34","Male","Not Provided","Other","White",-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,"Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
"499",499,"55-64","Female","Some college or university, no certificate or degree","UK","White",1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Decade","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used"
"500",500,"35-44","Female","Professional certificate/diploma","Republic of Ireland","White",0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,"Used in Last Year","Never Used","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"501",501,"25-34","Female","Professional certificate/diploma","UK","White",-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,"Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"502",502,"18-24","Male","Some college or university, no certificate or degree","USA","White",-1.55078,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used"
"503",503,"55-64","Female","Professional certificate/diploma","Canada","White",0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,"Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Month","Used in Last Week","Used in Last Week","Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"504",504,"35-44","Male","Not Provided","UK","White",-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,"Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"505",505,"45-54","Male","Professional certificate/diploma","Other","White",0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,"Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"506",506,"35-44","Male","University degree","UK","White",-0.46725,0.63779,0.88309,-0.76096,0.58489,0.19268,0.07987,"Used in Last Month","Used in Last Decade","Used in Last Year","Used over a Decade Ago","Used in Last Day","Used in Last Decade","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Decade","Never Used","Used over a Decade Ago"
"507",507,"25-34","Male","University degree","UK","White",0.13606,-0.30033,-0.97631,-1.34289,-0.00665,0.19268,-0.52593,"Used in Last Year","Used in Last Decade","Used in Last Year","Never Used","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"508",508,"35-44","Male","Not Provided","UK","White",1.49158,-1.09207,-1.11902,-1.772,-0.78155,-0.71126,0.07987,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Day","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"509",509,"35-44","Female","Masters degree","Other","White",-1.05308,1.11406,-0.31776,0.28783,0.12331,-1.37983,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"510",510,"35-44","Male","University degree","UK","White",0.04257,0.96248,-0.58331,-0.30172,-0.40581,0.52975,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Week","Never Used","Never Used"
"511",511,"45-54","Female","Masters degree","UK","White",0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Week","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Week","Never Used","Never Used"
"512",512,"18-24","Male","Some college or university, no certificate or degree","UK","White",0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,"Used in Last Day","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used"
"513",513,"55-64","Male","Not Provided","USA","White",-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,"Used in Last Year","Used in Last Decade","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
"514",514,"35-44","Male","Not Provided","UK","White",0.91093,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"515",515,"18-24","Female","Left school at 17 years","USA","White",-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,"Used in Last Week","Used in Last Year","Never Used","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"516",516,"35-44","Female","Not Provided","UK","White",-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
"517",517,"25-34","Female","Masters degree","UK","White",0.31287,-0.15487,0.29338,-0.45321,0.93949,-0.71126,-0.21575,"Used in Last Decade","Never Used","Used in Last Decade","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"518",518,"25-34","Male","Professional certificate/diploma","Other","White",0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,"Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"519",519,"25-34","Male","Masters degree","UK","White",-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Month","Used in Last Week","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Decade"
"520",520,"35-44","Female","University degree","UK","White",0.22393,-0.30033,-0.97631,-0.76096,0.93949,-1.37983,-2.07848,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
"521",521,"45-54","Female","Not Provided","Australia","White",0.62967,-0.30033,-0.84732,-0.45321,0.12331,-0.71126,-1.18084,"Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"522",522,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"523",523,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.24649,0.47617,-0.17779,-0.76096,-1.25773,0.19268,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"524",524,"35-44","Female","Left school before 16 years","UK","White",0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848,"Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Used in Last Year","Never Used","Used over a Decade Ago"
"525",525,"45-54","Female","University degree","Australia","White",-0.67825,0.63779,1.06238,2.03972,2.63199,0.19268,0.07987,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Never Used","Used in Last Day","Used in Last Year","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Day","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago"
"526",526,"55-64","Male","Left school at 18 years","UK","White",-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"527",527,"18-24","Male","Professional certificate/diploma","UK","White",0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,"Used in Last Month","Never Used","Used in Last Decade","Never Used","Used in Last Month","Used in Last Week","Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used"
"528",528,"35-44","Male","Doctorate degree","UK","White",0.62967,-0.15487,-0.17779,0.59042,-1.64101,0.52975,-0.21575,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
