"Index","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
424,426,"45-54","Female","Doctorate degree","USA","White",0.52135,0.00332,1.65653,0.94156,-0.00665,1.29221,0.40148,"Used in Last Year","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago"
425,427,"35-44","Male","University degree","UK","White",-0.34799,-0.30033,0.14143,-0.30172,-1.64101,-0.21712,-0.84637,"Used in Last Day","Used in Last Decade","Used in Last Year","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Used over a Decade Ago","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Week","Never Used","Never Used"
426,428,"45-54","Male",NA,"UK","White",0.22393,0.00332,-0.31776,-0.15487,-0.00665,0.52975,-0.21575,"Used in Last Week","Used over a Decade Ago","Never Used","Used in Last Year","Used in Last Week","Used over a Decade Ago","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
427,429,"35-44","Male","University degree","Other","White",0.62967,-0.80615,-0.17779,-1.34289,-0.14277,0.88113,0.07987,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Used over a Decade Ago","Used in Last Year","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Decade"
428,430,"25-34","Female","Left school at 18 years","UK","White",-0.92104,-0.15487,-2.09015,0.28783,0.7583,-1.37983,-1.54858,"Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
429,431,"25-34","Male","Left school before 16 years","UK","White",0.22393,-0.94779,-1.42424,-0.76096,-0.27607,-0.21712,-0.21575,"Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
430,432,"25-34","Female","Left school at 18 years","UK","White",0.04257,0.32197,-0.97631,0.94156,-1.0145,0.19268,-0.21575,"Used in Last Week","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Week","Never Used","Never Used"
431,433,"25-34","Male","University degree","UK","White",-0.24649,-0.30033,-1.68062,0.28783,0.12331,-0.71126,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
432,434,"45-54","Female",NA,"UK","White",0.22393,1.93886,-1.11902,1.2861,-0.14277,1.86203,0.7654,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
433,435,"18-24","Female","University degree","UK","White",-0.14882,0.96248,-1.55521,2.23427,1.63088,-0.21712,-0.52593,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
434,436,"25-34","Female","University degree","UK","White",0.04257,0.47617,-1.11902,0.59042,1.81175,-0.71126,-0.52593,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
435,437,"55-64","Male","Some college or university, no certificate or degree","USA","White",-0.67825,-0.30033,1.06238,1.81866,0.7583,-1.37983,-1.18084,"Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used"
436,438,"45-54","Male",NA,"UK","White",-1.43907,0.47617,0.29338,-0.91699,0.41594,0.52975,0.40148,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Decade","Never Used","Never Used"
437,439,"25-34","Female","University degree","USA","White",2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,"Used in Last Week","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Day","Never Used","Never Used"
438,440,"18-24","Female","Some college or university, no certificate or degree","USA","White",1.37297,-0.30033,0.29338,-0.15487,-1.78169,0.19268,-0.21575,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Month","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Year"
439,441,"35-44","Female","University degree","UK","White",-0.46725,0.47617,-0.58331,0.76096,1.81175,-0.21712,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used"
440,442,"18-24","Female","Some college or university, no certificate or degree","UK","White",-0.67825,1.45421,-2.09015,-0.01729,0.58489,0.52975,0.07987,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
441,443,"25-34","Female","Masters degree","UK","White",-0.92104,0.00332,0.29338,-0.15487,-0.00665,0.19268,0.07987,"Used in Last Week","Used in Last Decade","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
442,444,"35-44","Male",NA,"UK","White",0.41667,0.63779,-0.71727,-0.76096,-0.27607,-0.21712,-0.21575,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
443,445,"45-54","Female","Professional certificate/diploma","UK","White",-0.46725,0.80523,0.58331,0.13136,0.7583,-2.55524,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
444,446,"45-54","Female","University degree","UK","White",1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
445,447,"25-34","Female","University degree","UK","White",0.22393,-1.09207,0.44585,2.75696,-0.65253,-0.71126,0.40148,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Week","Used in Last Year","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Never Used"
446,448,"25-34","Male","Masters degree","UK","White",0.04257,-0.15487,-0.84732,-0.76096,-1.13788,1.29221,0.07987,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
447,449,"18-24","Female","Some college or university, no certificate or degree","UK","White",1.13281,1.45421,1.06238,-1.772,-0.89891,1.29221,1.2247,"Used in Last Week","Never Used","Used in Last Decade","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used"
448,450,"18-24","Male","University degree","UK","White",-0.34799,0.63779,0.44585,-0.30172,0.7583,-0.21712,0.07987,"Used in Last Week","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Never Used","Never Used"
449,451,"18-24","Female","University degree","UK","White",0.73545,-0.15487,-0.84732,0.59042,-1.0145,0.52975,0.07987,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
450,452,"18-24","Female","Masters degree","UK","White",-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
451,453,"35-44","Female","University degree","UK","White",-0.14882,-0.15487,0.14143,0.13136,0.93949,-1.37983,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
452,454,"25-34","Male","University degree","UK","White",1.23461,-1.7625,-0.31776,0.13136,0.41594,-1.37983,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Year","Never Used","Used in Last Month","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
453,455,"45-54","Male","Doctorate degree","UK","White",-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,"Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Month","Used in Last Month","Used in Last Week","Used in Last Year","Used in Last Month","Never Used","Used over a Decade Ago"
454,456,"18-24","Female","University degree","UK","White",0.82562,-0.80615,0.7233,-0.76096,-2.57309,0.88113,-0.21575,"Used in Last Day","Used in Last Year","Used in Last Year","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
455,457,"35-44","Male","University degree","UK","White",1.60383,-0.43999,0.29338,-2.21844,-0.65253,0.88113,0.40148,"Used in Last Day","Used in Last Year","Used over a Decade Ago","Used in Last Month","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Year","Used over a Decade Ago","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
456,458,"35-44","Female","Masters degree","UK","White",-0.46725,-0.57545,0.14143,0.59042,0.7583,-1.37983,-2.07848,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
457,459,"18-24","Female","University degree","UK","White",0.62967,0.00332,0.14143,0.59042,0.12331,-0.21712,0.07987,"Used in Last Day","Used in Last Month","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
458,460,"25-34","Male","Masters degree","UK","White",0.91093,1.2861,1.88511,-2.5383,-0.40581,0.52975,0.07987,"Used in Last Month","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Decade","Never Used","Used in Last Year","Never Used","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Week","Never Used","Never Used"
459,461,"18-24","Female","University degree","UK","White",1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,"Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Day","Used in Last Year","Never Used","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Never Used"
460,462,"18-24","Male","Some college or university, no certificate or degree","UK","White",1.49158,-1.37639,-2.63199,1.81866,-1.25773,0.52975,-1.18084,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Month","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used"
461,463,"35-44","Male","Some college or university, no certificate or degree","UK","White",0.82562,0.47617,1.43533,0.13136,-2.30408,1.29221,1.2247,"Used in Last Year","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
462,464,"45-54","Male","Left school at 18 years","UK","White",1.02119,-0.94779,-0.58331,1.45039,-1.25773,-0.21712,0.40148,"Used in Last Day","Used over a Decade Ago","Used in Last Decade","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Used over a Decade Ago"
463,465,"18-24","Female","University degree","UK","White",0.31287,-0.80615,1.06238,0.76096,0.93949,0.19268,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used"
464,466,"18-24","Female","Masters degree","UK","White",1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
465,467,"18-24","Female","University degree","UK","Asian",0.31287,0.63779,1.06238,1.11406,-0.27607,-0.71126,0.7654,"Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used in Last Decade"
466,468,"45-54","Male","University degree","UK","White",0.22393,0.00332,1.24033,-0.01729,1.46191,-0.21712,-0.21575,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Decade","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used"
467,469,"35-44","Male","University degree","UK","White",-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
468,470,"25-34","Male","University degree","UK","White",-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,"Used in Last Week","Used in Last Year","Used in Last Decade","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
469,471,"45-54","Female",NA,"USA","White",2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,"Used in Last Year","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used"
470,472,"18-24","Female","University degree","UK","White",0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
471,473,"18-24","Male","Masters degree","UK","Mixed-White/Black",-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
472,474,"18-24","Female","Left school before 16 years","UK","White",0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Never Used","Used in Last Decade"
473,475,"35-44","Female","Some college or university, no certificate or degree","USA","White",1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,"Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Day","Never Used","Never Used"
474,476,"55-64","Female","University degree","UK",NA,-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
475,477,"45-54","Female","University degree","USA","White",-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,"Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
476,478,"35-44","Male","University degree","UK","White",1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Year"
477,479,"35-44","Female","Professional certificate/diploma","UK","White",1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,"Used in Last Day","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
478,480,"25-34","Female","University degree","UK","White",0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
479,481,"25-34","Female","Masters degree","Australia","White",0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,"Used in Last Day","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
480,482,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,"Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used"
481,483,"35-44","Female","University degree","Australia","White",1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
482,484,"35-44","Male","Some college or university, no certificate or degree","UK","White",-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,"Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Used over a Decade Ago"
483,485,"25-34","Female","University degree","UK","White",1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,"Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
484,486,"35-44","Female",NA,"UK","White",-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,"Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
485,487,"45-54","Female",NA,"UK","White",-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,"Used in Last Day","Never Used","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
486,488,"25-34","Male","Left school at 18 years","Other","White",1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,"Used in Last Week","Used in Last Week","Never Used","Used in Last Decade","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used over a Decade Ago"
487,489,"35-44","Female","Left school at 18 years","USA","White",1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,"Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
488,490,"25-34","Male",NA,"UK","White",0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,"Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade"
489,491,"18-24","Male","Left school before 16 years","UK","White",1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,"Used in Last Year","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
490,492,"18-24","Male","Some college or university, no certificate or degree","UK","White",-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Used in Last Month","Never Used","Used in Last Month","Used in Last Week","Never Used","Never Used"
491,493,"45-54","Female","Professional certificate/diploma","UK","White",0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
492,494,"18-24","Male","Left school at 18 years","UK","White",-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,"Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Decade"
493,495,"18-24","Male","Professional certificate/diploma","UK","White",0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,"Used in Last Week","Never Used","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
494,496,"18-24","Male","Some college or university, no certificate or degree","UK","White",0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used"
